package,package_update,repository_update
adafruit-circuitpython-busdevice,2022-08-26,2022-08-23
aws-embedded-metrics,2022-09-26,2022-09-16
aws-secretsmanager-caching,2021-03-11,2021-03-10
bbcode,2019-12-31,2019-12-27
bumpversion,2020-05-14,2019-11-26
business-duration,2022-01-19,2020-04-02
cgroupspy,2022-04-04,2022-04-01
chiabip158,2022-10-06,2022-08-31
conjure-python-client,2022-10-05,2022-09-28
contours,2017-07-28,2017-07-27
cpuset-py3,2020-12-01,2016-01-21
crowdstrike-falconpy,2022-09-20,2022-09-16
cvxopt,2022-03-08,2022-03-07
dbt-bigquery,2022-10-06,2022-10-04
dbt-redshift,2022-10-03,2022-09-30
dbt-snowflake,2022-10-03,2022-09-30
dedupe,2022-01-21,2022-01-19
django-admin-autocomplete-filter,2021-09-11,2021-09-09
dopamine-rl,2022-09-21,2022-09-20
drf-jwt,2022-01-09,2022-01-08
elasticsearch,2022-10-06,2022-10-03
getmac,2022-06-01,2022-05-12
googledrivedownloader,2019-05-20,2019-02-09
grandalf,2020-03-19,2020-03-17
httpstan,2022-10-10,2022-10-03
hubspot-api-client,2022-08-15,2022-08-12
incremental,2022-10-04,2021-08-08
infi-clickhouse-orm,2022-07-24,2022-07-19
ipcqueue,2022-01-27,2021-09-11
ipydatawidgets,2022-08-24,2022-08-22
jikanpy,2021-04-18,2021-04-16
jira,2022-09-06,2022-09-05
jupyter-contrib-core,2022-07-09,2022-07-08
jupyter-nbextensions-configurator,2022-07-17,2022-07-09
jxmlease,2020-05-29,2020-05-21
keyrings-google-artifactregistry-auth,2022-09-03,2022-09-02
localstack-ext,2022-10-10,2022-10-09
lomond,2018-09-21,2018-07-05
lyricsgenius,2021-04-18,2021-04-17
mkdocs-minify-plugin,2021-10-19,2021-10-18
mmdet,2022-09-26,2022-09-16
msgpack-numpy,2022-06-09,2022-04-28
mypy-boto3-glue,2022-10-05,2022-10-04
newrelic-telemetry-sdk,2022-07-11,2022-07-09
pantab,2022-09-14,2021-04-07
pep562,2021-05-21,2021-05-17
probableparsing,2016-12-19,2016-03-28
pyasn1,2022-08-23,2020-03-21
pyasn1-modules,2022-08-08,2020-03-21
pybytebuffer,2020-12-28,2020-10-25
pycapnp,2022-09-13,2022-09-12
pyfarmhash,2022-01-14,2021-12-30
pygments-style-tomorrow,2020-09-22,2013-01-13
pylibmc,2022-08-30,2022-08-26
pymel,2021-11-13,2021-02-08
pyminizip,2021-12-21,2021-12-20
pymp-pypi,2022-02-28,2022-02-24
pyppmd,2022-07-30,2022-07-29
pytest-testmon,2022-09-29,2022-09-27
python-jsonrpc-server,2020-09-08,2020-09-07
python-logstash,2022-03-30,2022-03-28
python-monkey-business,2016-03-22,2016-03-19
pyvis,2022-09-23,2022-09-22
quantile-python,2015-02-11,2013-09-21
rasa-sdk,2022-10-07,2022-09-21
rauth,2017-01-22,2015-11-05
requests-ntlm,2017-10-18,2017-09-19
resize-right,2022-05-05,2021-12-08
spacy-alignments,2022-04-06,2022-04-05
sparkdl,2018-05-16,2017-09-15
splitio-client,2022-07-26,2022-07-25
stdlib-list,2020-11-19,2020-11-18
stepfunctions,2022-01-24,2022-01-21
strenum,2022-06-22,2021-10-14
stripe,2022-10-07,2022-09-23
sweetviz,2022-06-14,2022-06-08
tensorflow-io-gcs-filesystem,2022-09-08,2022-09-07
textfsm,2022-07-13,2022-07-06
unidic-lite,2021-01-25,2020-09-01
virtualenv-clone,2021-09-07,2021-09-06
xmindparser,2021-07-23,2019-01-19
