package,repository
adafruit-circuitpython-typing,https://github.com/adafruit/Adafruit_CircuitPython_Typing
adafruit-platformdetect,https://github.com/adafruit/Adafruit_Python_PlatformDetect
absl-py,https://github.com/abseil/abseil-py
accumulation-tree,https://github.com/tkluck/accumulation_tree
acme,https://github.com/letsencrypt/letsencrypt
adafruit-blinka,https://github.com/adafruit/Adafruit_Blinka
adafruit-circuitpython-busdevice,https://github.com/adafruit/Adafruit_CircuitPython_BusDevice
acryl-datahub-airflow-plugin,https://github.com/datahub-project/datahub
adafruit-circuitpython-requests,https://github.com/adafruit/Adafruit_CircuitPython_Requests
acryl-datahub,https://github.com/datahub-project/datahub
adal,https://github.com/AzureAD/azure-activedirectory-library-for-python
adafruit-pureio,https://github.com/adafruit/Adafruit_Python_PureIO
aiomultiprocess,https://github.com/omnilib/aioitertools
aiohttp-retry,https://github.com/inyutin/aiohttp_retry
aioredis,https://github.com/aio-libs/aioredis-py
airflow-prometheus-exporter,https://github.com/robinhood/airflow_prometheus_exporter
akinator-py,https://github.com/Tom-the-Bomb/akinator.py
ale-py,https://github.com/mgbellemare/Arcade-Learning-Environment
akinator,https://github.com/Infiniticity/akinator.py
allure-behave,https://github.com/allure-framework/allure-python
aliyun-python-sdk-core-v3,https://github.com/aliyun/aliyun-openapi-python-sdk
allure-python-commons,https://github.com/allure-framework/allure-python
allure-pytest,https://github.com/allure-framework/allure-python
aliyun-python-sdk-core,https://github.com/aliyun/aliyun-openapi-python-sdk
algoliasearch,https://github.com/algolia/algoliasearch-client-python
android-backup,https://github.com/bluec0re/android-backup-tools
ansible-core,https://github.com/ansible/ansible
anyconfig,https://github.com/ssato/python-anyconfig
ansible-tower-cli,https://github.com/ansible/tower-cli
ansible-base,https://github.com/ansible/ansible
apache-airflow-backport-providers-ssh,https://github.com/apache/airflow
ache/airflow/commit/d4c4db8a1833d07b1c03e4c062acea49c79bf5d6,https://github.com/apache/airflow/commit/de3b1e687b26c524c6909b7b4dfbb60d25019751
apache-airflow-providers-apache-druid,https://github.com/apache/airflow
apache-airflow-backport-providers-snowflake,https://github.com/apache/airflow
apache-airflow-providers-amazon,https://github.com/apache/airflow
apache-airflow-backport-providers-microsoft-azure,https://github.com/apache/airflow
apache-airflow-backport-providers-amazon,https://github.com/apache/airflow
apache-airflow-providers-airbyte,https://github.com/apache/airflow
apache-airflow-backport-providers-http,https://github.com/apache/airflow
apache-airflow-providers-apache-hdfs,https://github.com/apache/airflow
anytemplate,https://github.com/ssato/python-anytemplate
apache-airflow-providers-datadog,https://github.com/apache/airflow
apache-airflow-providers-databricks,https://github.com/apache/airflow
apache-airflow-providers-http,https://github.com/apache/airflow
apache-airflow-providers-google,https://github.com/apache/airflow
apache-airflow-providers-asana,https://github.com/apache/airflow
apache-airflow-providers-dbt-cloud,https://github.com/apache/airflow
apache-airflow-providers-apache-hive,https://github.com/apache/airflow
apache-airflow-providers-ftp,https://github.com/apache/airflow
apache-airflow-providers-apache-spark,https://github.com/apache/airflow
apache-airflow-providers-common-sql,https://github.com/apache/airflow
apache-airflow-providers-apache-livy,https://github.com/apache/airflow
apache-airflow-providers-celery,https://github.com/apache/airflow
apache-airflow-providers-cloudant,https://github.com/apache/airflow
apache-airflow-providers-docker,https://github.com/apache/airflow
apache-airflow-providers-cncf-kubernetes,https://github.com/apache/airflow
apache-airflow-providers-jdbc,https://github.com/apache/airflow
apache-airflow-providers-pagerduty,https://github.com/apache/airflow
apache-airflow-providers-jira,https://github.com/apache/airflow
apache-airflow-providers-microsoft-azure,https://github.com/apache/airflow
apache-airflow-providers-jenkins,https://github.com/apache/airflow
apache-airflow-providers-odbc,https://github.com/apache/airflow
apache-airflow-providers-microsoft-mssql,https://github.com/apache/airflow
apache-airflow-providers-redis,https://github.com/apache/airflow
apache-airflow-providers-mysql,https://github.com/apache/airflow
apache-airflow-providers-mongo,https://github.com/apache/airflow
apache-airflow-providers-oracle,https://github.com/apache/airflow
apache-airflow-providers-presto,https://github.com/apache/airflow
apache-airflow-providers-postgres,https://github.com/apache/airflow
apache-airflow-providers-papermill,https://github.com/apache/airflow
apache-airflow-providers-imap,https://github.com/apache/airflow
apache-airflow-providers-sendgrid,https://github.com/apache/airflow
apache-airflow-providers-sftp,https://github.com/apache/airflow
apache-airflow,https://github.com/apache/airflow
apache-airflow-providers-salesforce,https://github.com/apache/airflow
apache-airflow-providers-telegram,https://github.com/apache/airflow
apache-airflow-providers-slack,https://github.com/apache/airflow
apache-airflow-providers-sqlite,https://github.com/apache/airflow
apache-airflow-providers-snowflake,https://github.com/apache/airflow
apache-airflow-providers-tableau,https://github.com/apache/airflow
apache-airflow-providers-ssh,https://github.com/apache/airflow
apache-sedona,https://github.com/apache/incubator-sedona
applicationinsights,https://github.com/Microsoft/ApplicationInsights-Python
apns2,https://github.com/Pr0Ger/PyAPNs2
arpeggio,https://github.com/textX/Arpeggio
argparse-addons,https://github.com/eerimoq/argparse_addons
aspy-refactor-imports,https://github.com/asottile/aspy.refactor_imports
aspy-yaml,https://github.com/asottile/aspy.yaml
async-generator,https://github.com/python-trio/async_generator
async-lru,https://github.com/aio-libs/async_lru
async-exit-stack,https://github.com/sorcio/async_exit_stack
asyncio-nats-client,https://github.com/nats-io/nats.py
atomicwrites,https://github.com/untitaker/python-atomicwrites
atlassian-jwt-auth,https://github.com/atlassian/asap-authentication-python
attrdict,https://github.com/bcj/AttrDict
authcaptureproxy,https://github.com/alandtse/auth_capture_proxy
autobahn,https://github.com/crossbario/autobahn-python
autogluon-core,https://github.com/awslabs/autogluon
automat,https://github.com/glyph/Automat
avro-validator,https://github.com/leocalm/avro_validator
avro-gen,https://github.com/rbystrit/avro_gen
autosemver,https://github.com/david-caro/python-autosemver
av,https://github.com/conda-forge/av-feedstock
autoviz,https://github.com/AutoViML/AutoViz
avro-gen3,https://github.com/acryldata/avro_gen
aws-cdk-aws-autoscaling-common,https://github.com/aws/aws-cdk
aws-cdk-aws-certificatemanager,https://github.com/aws/aws-cdk
aws-cdk-aws-apigatewayv2-alpha,https://github.com/aws/aws-cdk
aws-cdk-assets,https://github.com/aws/aws-cdk
aws-cdk-aws-autoscaling-hooktargets,https://github.com/aws/aws-cdk
aws-cdk-aws-applicationautoscaling,https://github.com/aws/aws-cdk
aws-cdk-aws-apigateway,https://github.com/aws/aws-cdk
aws-cdk-aws-batch,https://github.com/aws/aws-cdk
aws-cdk-aws-autoscaling,https://github.com/aws/aws-cdk
aws-cdk-aws-acmpca,https://github.com/aws/aws-cdk
aws-cdk-aws-cloudfront,https://github.com/aws/aws-cdk
aws-cdk-aws-cloudwatch-actions,https://github.com/aws/aws-cdk
aws-cdk-aws-cloudformation,https://github.com/aws/aws-cdk
awkward,https://github.com/scikit-hep/awkward-1.0
aws-cdk-aws-codedeploy,https://github.com/aws/aws-cdk
aws-cdk-aws-codeguruprofiler,https://github.com/aws/aws-cdk
aws-cdk-aws-codecommit,https://github.com/aws/aws-cdk
aws-cdk-aws-cognito,https://github.com/aws/aws-cdk
aws-cdk-aws-dynamodb,https://github.com/aws/aws-cdk
aws-cdk-aws-codepipeline,https://github.com/aws/aws-cdk
aws-cdk-aws-cloudwatch,https://github.com/aws/aws-cdk
aws-cdk-aws-codebuild,https://github.com/aws/aws-cdk
aws-cdk-aws-ecs-patterns,https://github.com/aws/aws-cdk
aws-cdk-aws-ec2,https://github.com/aws/aws-cdk
aws-cdk-aws-ecr,https://github.com/aws/aws-cdk
aws-cdk-aws-ecr-assets,https://github.com/aws/aws-cdk
aws-cdk-aws-codestarnotifications,https://github.com/aws/aws-cdk
aws-cdk-aws-ecs,https://github.com/aws/aws-cdk
aws-cdk-aws-efs,https://github.com/aws/aws-cdk
aws-cdk-aws-events,https://github.com/aws/aws-cdk
aws-cdk-aws-lambda,https://github.com/aws/aws-cdk
