package,url
aiobotocore,https://github.com/joseph-jones
aiobotocore,https://github.com/microsoft/pyright
aiobotocore,https://github.com/puzza007
aiobotocore,https://github.com/terrycain
aiobotocore,https://travis-ci.com/aio-libs/aiobotocore
aiohttp,https://github.com/python-attrs/attrs
aiohttp,https://github.com/python/asyncio/wiki/Benchmarks
aiosignal,https://docs.aiosignal.org
asn1crypto,http://wwwimages.adobe.com/content/dam/Adobe/en/devnet/pdf/pdfs/PDF32000_2008.pdf
asn1crypto,https://github.com/wbond/asn1crypto
asn1crypto,https://github.com/wbond/asn1crypto/actions/workflows/ci.yml
asn1crypto,https://github.com/wbond/asn1crypto/actions?workflow=CI
asn1crypto,https://github.com/wbond/asn1crypto/blob/master/SECURITY.md
asn1crypto,https://github.com/wbond/asn1crypto/workflows/CI/badge.svg
asn1crypto,https://github.com/wbond/certbuilder
asn1crypto,https://github.com/wbond/certvalidator
asn1crypto,https://github.com/wbond/crlbuilder
asn1crypto,https://github.com/wbond/csrbuilder
asn1crypto,https://github.com/wbond/ocspbuilder
asn1crypto,https://github.com/wbond/oscrypto
async-timeout,https://travis-ci.com/aio-libs/async-timeout
attrs,https://github.com/python-attrs/attrs
attrs,https://github.com/python-attrs/attrs/blob/main/.github/CONTRIBUTING.md
attrs,https://github.com/python-attrs/attrs/graphs/contributors
attrs,https://github.com/python-attrs/attrs/issues
attrs,https://github.com/python-attrs/attrs/issues/898
attrs,https://github.com/python-attrs/attrs/issues/909
attrs,https://github.com/python-attrs/attrs/issues/916
attrs,https://github.com/python-attrs/attrs/issues/925
attrs,https://github.com/python-attrs/attrs/issues/931
attrs,https://github.com/python-attrs/attrs/issues/936
attrs,https://github.com/python-attrs/attrs/issues/939
attrs,https://github.com/python-attrs/attrs/issues/949
attrs,https://github.com/python-attrs/attrs/issues/951
attrs,https://github.com/python-attrs/attrs/issues/969
attrs,https://github.com/python-attrs/attrs/wiki/Extensions-to-attrs
attrs,https://github.com/sponsors/hynek
attrs,https://ko-fi.com/the_hynek
azure-storage-blob,https://cla.microsoft.com.
beautifulsoup4,https://bazaar.launchpad.net/
cachetools,http://www.python.org/dev/peps/pep-%04d/
cachetools,https://github.com/psf/black
cachetools,https://github.com/python/typeshed/
cachetools,https://github.com/tkem/cachetools/
cachetools,https://github.com/tkem/cachetools/actions/workflows/ci.yml
cachetools,https://github.com/tkem/cachetools/blob/master/CHANGELOG.rst
cachetools,https://github.com/tkem/cachetools/issues/
chardet,https://chardet.readthedocs.io/.
chardet,https://github.com/sigmavirus24
chardet,https://github.com/sigmavirus24/charade
charset-normalizer,https://github.com/ousret/charset_normalizer
charset-normalizer,https://github.com/ousret/charset_normalizer/issues
charset-normalizer,https://twitter.com/intent/tweet?text=The%20Real%20First%20Universal%20Charset%20%26%20Language%20Detector
charset-normalizer,https://www.github.com/Ousret/charset_normalizer
click,https://github.com/pallets/click
click,https://github.com/pallets/click/
click,https://github.com/pallets/click/issues
click,https://github.com/pallets/click/issues/
click,https://twitter.com/PalletsTeam
colorama,https://github.com/tartley/colorama
colorama,https://github.com/tartley/colorama/actions/workflows/test.yml
colorama,https://github.com/tartley/colorama/actions/workflows/test.yml/badge.svg
colorama,https://github.com/tartley/colorama/blob/master/ENTERPRISE.md
colorama,https://github.com/tartley/colorama/issues
cryptography,https://github.com/pyca/cryptography
cryptography,https://github.com/pyca/cryptography/
cryptography,https://github.com/pyca/cryptography/actions?query=workflow%3ACI
cryptography,https://github.com/pyca/cryptography/issues
cryptography,https://github.com/pyca/cryptography/workflows/CI/badge.svg?branch=main
decorator,https://github.com/micheles/decorator
decorator,https://github.com/micheles/decorator/blob/3.4.2/documentation.rst
decorator,https://github.com/micheles/decorator/blob/4.0.0/documentation.rst
decorator,https://github.com/micheles/decorator/blob/4.1.2/docs/tests.documentation.rst
decorator,https://github.com/micheles/decorator/blob/4.2.1/docs/tests.documentation.rst
decorator,https://github.com/micheles/decorator/blob/4.3.2/docs/tests.documentation.rst
decorator,https://github.com/micheles/decorator/blob/master/docs/documentation.md
filelock,https://github.com/psf/black
filelock,https://github.com/tox-dev/py-filelock
filelock,https://github.com/tox-dev/py-filelock/actions/workflows/check.yml
filelock,https://github.com/tox-dev/py-filelock/actions/workflows/check.yml/badge.svg
filelock,https://github.com/tox-dev/py-filelock/issues
flask,https://github.com/pallets/flask/
flask,https://github.com/pallets/flask/blob/main/CONTRIBUTING.rst
flask,https://github.com/pallets/flask/issues/
flask,https://twitter.com/PalletsTeam
fsspec,https://github.com/tox-dev/tox-conda
google-api-core,https://github.com/googleapis/python-api-core
google-api-core,https://github.com/googleapis/python-api-core/issues/48
google-auth,https://github.com/lukesneeringer
google-auth,https://github.com/theacodes
google-auth,https://googleapis.dev/python/google-auth/latest/index.html.
google-auth-oauthlib,https://github.com/idan/oauthlib
google-cloud-bigquery,https://github.com/googleapis/python-bigquery
google-cloud-core,https://github.com/googleapis/python-cloud-core
google-cloud-storage,https://github.com/googleapis/python-storage
google-crc32c,https://github.com/googleapis/python-crc32c
google-crc32c,https://github.com/pypa/manylinux/issues/994
google-resumable-media,https://github.com/googleapis/google-resumable-media-python
google-resumable-media,https://github.com/googleapis/google-resumable-media-python/blob/main/LICENSE
googleapis-common-protos,https://github.com/googleapis/python-api-common-protos
greenlet,http://opensource.hyves.org/concurrence/
greenlet,https://github.com/python-greenlet/greenlet
greenlet,https://github.com/python-greenlet/greenlet/
greenlet,https://github.com/python-greenlet/greenlet/actions
greenlet,https://github.com/python-greenlet/greenlet/blob/adca19bf1f287b3395896a8f41f3f4fd1797fdc7/src/greenlet/tests/test_generator.py
greenlet,https://github.com/python-greenlet/greenlet/issues
greenlet,https://github.com/python-greenlet/greenlet/workflows/tests/badge.svg
grpcio,https://github.com/grpc/grpc
grpcio,https://python-compatibility-tools.appspot.com/one_badge_image?package=grpcio
grpcio,https://python-compatibility-tools.appspot.com/one_badge_target?package=grpcio
idna,https://github.com/kjd/idna
idna,https://github.com/kjd/idna/issues/18
importlib-metadata,https://github.com/psf/black
importlib-metadata,https://github.com/python/importlib_metadata
importlib-metadata,https://github.com/python/importlib_metadata/actions?query=workflow%3A%22tests%22
importlib-metadata,https://github.com/python/importlib_metadata/issues
importlib-metadata,https://github.com/python/importlib_metadata/issues/344
importlib-metadata,https://github.com/python/importlib_metadata/issues/348
importlib-metadata,https://github.com/python/importlib_metadata/workflows/tests/badge.svg
importlib-resources,https://github.com/psf/black
importlib-resources,https://github.com/python/importlib_resources
importlib-resources,https://github.com/python/importlib_resources/actions?query=workflow%3A%22tests%22
importlib-resources,https://github.com/python/importlib_resources/workflows/tests/badge.svg
importlib-resources,https://tidelift.com/subscription/pkg/pypi-importlib-resources?utm_source=pypi-importlib-resources
isodate,https://github.com/gweis/isodate/
itsdangerous,https://github.com/pallets/itsdangerous/
itsdangerous,https://github.com/pallets/itsdangerous/issues/
itsdangerous,https://twitter.com/PalletsTeam
jinja2,https://github.com/pallets/jinja/
jinja2,https://github.com/pallets/jinja/issues/
jinja2,https://twitter.com/PalletsTeam
jmespath,https://badges.gitter.im/Join
jmespath,https://github.com/jmespath/jmespath.py
jmespath,https://github.com/jmespath/jmespath.site/issues
jsonschema,https://github.com/python-jsonschema/jsonschema
jsonschema,https://github.com/python-jsonschema/jsonschema/actions?query=workflow%3ACI
jsonschema,https://github.com/python-jsonschema/jsonschema/blob/main/CHANGELOG.rst
jsonschema,https://github.com/python-jsonschema/jsonschema/issues/
jsonschema,https://github.com/python-jsonschema/jsonschema/workflows/CI/badge.svg
jsonschema,https://github.com/sponsors/Julian
jsonschema,https://github.com/sponsors/Julian/
