repository,packages
https://github.com/ARMmbed/mbed-os-tools,mbed-ls|mbed-os-tools
https://github.com/Azure/azure-cli,azure-cli-nspkg|azure-cli-telemetry|azure-cli|azure-cli-core|azure-functions-devops-build|azure-keyvault|azure-mgmt-recoveryservicesbackup|azure-mgmt-recoveryservices|azure-multiapi-storage|knack
https://github.com/Azure/azure-cosmosdb-python,azure-cosmosdb-table|azure-cosmosdb-nspkg|azure-multiapi-storage|azure-storage-file|azure-storage-common
https://github.com/Azure/azure-kusto-python,azure-kusto-ingest|azure-kusto-data
https://github.com/Azure/azure-sdk-for-python,adlfs|azure-appconfiguration|azure-ai-textanalytics|azure-ai-metricsadvisor|azure-common|azure-batch|azure-applicationinsights|azure-data-tables|azure-cosmosdb-table|azure-eventhub-checkpointstoreblob-aio|azure-core|azure-eventhub-checkpointstoreblob|azure-eventhub|azure-eventgrid|azure-cosmos|azure-keyvault-secrets|azure-keyvault|azure-identity|azure-keyvault-certificates|azure-loganalytics|azure-keyvault-administration|azure-mgmt-apimanagement|azure-keyvault-keys|azure-graphrbac|azure-mgmt-advisor|azure-mgmt-appconfiguration|azure-mgmt-batch|azure-mgmt-consumption|azure-mgmt-cdn|azure-mgmt-batchai|azure-mgmt-billing|azure-mgmt-botservice|azure-mgmt-commerce|azure-mgmt-authorization|azure-mgmt-containerservice|azure-mgmt-automation|azure-mgmt-cognitiveservices|azure-mgmt-applicationinsights|azure-mgmt-compute|azure-mgmt-containerinstance|azure-mgmt-containerregistry|azure-mgmt-core|azure-mgmt-datalake-store|azure-mgmt-cosmosdb|azure-mgmt-extendedlocation|azure-mgmt-databoxedge|azure-mgmt-datafactory|azure-mgmt-devtestlabs|azure-mgmt-datalake-nspkg|azure-mgmt-deploymentmanager|azure-mgmt-datalake-analytics|azure-mgmt-devspaces|azure-mgmt-dns|azure-mgmt-datamigration|azure-mgmt-eventhub|azure-mgmt-eventgrid|azure-mgmt-hdinsight|azure-mgmt-kusto|azure-mgmt-keyvault|azure-mgmt-iothubprovisioningservices|azure-mgmt-imagebuilder|azure-mgmt-iotcentral|azure-mgmt-iothub|azure-mgmt-logic|azure-mgmt-hanaonazure|azure-mgmt-managementgroups|azure-mgmt-maps|azure-mgmt-managementpartner|azure-mgmt-loganalytics|azure-mgmt-managedservices|azure-mgmt-machinelearningcompute|azure-mgmt-media|azure-mgmt-redhatopenshift|azure-mgmt-notificationhubs|azure-mgmt-policyinsights|azure-mgmt-recoveryservicesbackup|azure-mgmt-msi|azure-mgmt-network|azure-mgmt-rdbms|azure-mgmt-netapp|azure-mgmt-powerbiembedded|azure-mgmt-monitor|azure-mgmt-privatedns|azure-mgmt-nspkg|azure-mgmt-recoveryservices|azure-mgmt-marketplaceordering|azure-mgmt-servicebus|azure-mgmt-resource|azure-mgmt-search|azure-mgmt-security|azure-mgmt-relay|azure-mgmt-storage|azure-mgmt-sql|azure-mgmt-servicefabric|azure-mgmt-reservations|azure-mgmt-scheduler|azure-mgmt-redis|azure-mgmt-servicelinker|azure-mgmt-sqlvirtualmachine|azure-mgmt-servicefabricmanagedclusters|azure-mgmt-signalr|azure-mgmt-web|azure-servicefabric|azure-schemaregistry-avroserializer|azure-mgmt-trafficmanager|azure-monitor-query|azure-search-documents|azure-mgmt-synapse|azure-storage-blob|azure-nspkg|azure-servicebus|azure-mgmt-subscription|azure-mgmt|azure-servicemanagement-legacy|azure-schemaregistry|azure|azure-storage-file-share|azure-storage-queue|azure-synapse-accesscontrol|azure-synapse-managedprivateendpoints|azure-synapse-artifacts|azure-storage-file-datalake|azure-storage-file|azure-synapse-spark|azure-storage|azure-storage-common|msrest
https://github.com/Azure/azure-storage-python,azure-multiapi-storage|azure-storage-nspkg|azure-storage-file|azure-storage-common
https://github.com/Lightning-AI/lightning,lightning-app|lightning|pytorch-lightning
https://github.com/MarshalX/tgcalls,pytgcalls|tgcalls
https://github.com/Microsoft/vsts-python-api,azure-devops|vsts
https://github.com/Rapptz/discord.py,discord|discord-py|fortnitepy
https://github.com/ReactiveX/RxPY,influxdb-client|reactivex|rx
https://github.com/SeldonIO/MLServer.git,mlserver-mlflow|mlserver
https://github.com/WorksApplications/SudachiDict,sudachipy|sudachidict-full|sudachidict-core
https://github.com/aliyun/aliyun-openapi-python-sdk,aliyun-python-sdk-core|aliyun-python-sdk-core-v3
https://github.com/allure-framework/allure-python,allure-python-commons|allure-behave|allure-pytest
https://github.com/ansible/ansible,ansible-base|ansible|ansible-lint|ansible-core|ansible-runner|distro|policy-sentry|pywinrm
